Step,Distillation Loss,CE Loss,Accumulated Distillation Loss,Accumulated CE Loss
1,694.307861328125,12.165796279907227,694.307861328125,12.165796279907227
2,2253.919189453125,15.72033977508545,2948.22705078125,27.886136054992676
3,757.7899169921875,12.752713203430176,3706.0169677734375,40.63884925842285
4,517.3312377929688,10.702974319458008,4223.348205566406,51.34182357788086
5,330.3004150390625,9.847273826599121,4553.648620605469,61.18909740447998
6,441.8406066894531,10.869707107543945,4995.489227294922,72.05880451202393
7,509.327880859375,9.214200973510742,5504.817108154297,81.27300548553467
8,567.0301513671875,9.393409729003906,6071.847259521484,90.66641521453857
9,599.9739990234375,8.772979736328125,6671.821258544922,99.4393949508667
10,372.5946044921875,8.741482734680176,7044.415863037109,108.18087768554688
11,514.62060546875,9.529617309570312,7559.036468505859,117.71049499511719
12,439.71710205078125,9.210041999816895,7998.753570556641,126.92053699493408
13,398.544921875,8.22636604309082,8397.29849243164,135.1469030380249
14,357.94464111328125,8.211126327514648,8755.243133544922,143.35802936553955
15,383.47723388671875,8.243966102600098,9138.72036743164,151.60199546813965
16,491.98126220703125,8.354033470153809,9630.701629638672,159.95602893829346
17,312.96673583984375,8.677000999450684,9943.668365478516,168.63302993774414
18,369.8009033203125,8.764886856079102,10313.469268798828,177.39791679382324
19,529.7234497070312,10.049951553344727,10843.19271850586,187.44786834716797
20,361.9608154296875,10.504990577697754,11205.153533935547,197.95285892486572
21,480.29119873046875,8.724724769592285,11685.444732666016,206.677583694458
22,267.6596984863281,8.186034202575684,11953.104431152344,214.8636178970337
23,299.82879638671875,7.957718372344971,12252.933227539062,222.82133626937866
24,393.1551513671875,8.047152519226074,12646.08837890625,230.86848878860474
25,584.5616455078125,8.215886116027832,13230.650024414062,239.08437490463257
26,444.9182434082031,8.37618350982666,13675.568267822266,247.46055841445923
27,311.03619384765625,8.448589324951172,13986.604461669922,255.9091477394104
28,306.8213806152344,9.021916389465332,14293.425842285156,264.93106412887573
29,398.7447814941406,8.58494758605957,14692.170623779297,273.5160117149353
30,359.4407653808594,8.574891090393066,15051.611389160156,282.09090280532837
31,385.42315673828125,8.42851448059082,15437.034545898438,290.5194172859192
32,236.51161193847656,8.374767303466797,15673.546157836914,298.894184589386
33,376.29022216796875,7.947159767150879,16049.836380004883,306.84134435653687
34,319.9857177734375,8.157394409179688,16369.82209777832,314.99873876571655
35,386.1571044921875,7.367137908935547,16755.979202270508,322.3658766746521
36,169.41351318359375,8.414799690246582,16925.3927154541,330.7806763648987
37,585.1910400390625,9.119186401367188,17510.583755493164,339.89986276626587
38,378.721923828125,8.996838569641113,17889.30567932129,348.896701335907
39,333.2934265136719,9.474194526672363,18222.59910583496,358.37089586257935
